query_path,nearest_ref_path,nn_lpips
dataset_v3_patches/test/Links/普通样片_14G_局编_羊毛_JB2023-7_1690940797975_y219.jpg,dataset_v3_patches/train/Miss/普通样片_5_7G_棉纱_局编_JB2024-10_1733388821957_y294_aug1.jpg,0.179500
dataset_v3_patches/test/Links/普通样片_14G_局编_羊毛_JB2023-7_1690940797975_y292.jpg,dataset_v3_patches/train/Miss/普通样片_5_7G_棉纱_局编_JB2024-10_1733388821957_y294_aug1.jpg,0.172936
dataset_v3_patches/test/Links/普通样片_14G_局编_羊毛_JB2023-7_1690940797975_y294.jpg,dataset_v3_patches/train/Miss/普通样片_5_7G_棉纱_局编_JB2024-10_1733388821957_y294_aug1.jpg,0.174295
dataset_v3_patches/test/Links/普通样片_16G_提花_双曲线_TH2022-9_1658211357178_y000.jpg,dataset_v3_patches/train/Tuck/__DX2022-2_1654737426913_y073_aug2.jpg,0.312512
dataset_v3_patches/test/Links/普通样片_16G_提花_双曲线_TH2022-9_1658211357178_y073.jpg,dataset_v3_patches/train/Tuck/__DX2022-2_1654737426913_y000_aug1.jpg,0.312836
dataset_v3_patches/test/Links/普通样片_16G_提花_双曲线_TH2022-9_1658211357178_y146.jpg,dataset_v3_patches/train/Tuck/__DX2022-2_1654737426913_y000_aug2.jpg,0.309975
dataset_v3_patches/test/Links/普通样片_16G_提花_双曲线_TH2022-9_1658211357178_y219.jpg,dataset_v3_patches/train/Tuck/__DX2022-2_1654737426913_y073_aug2.jpg,0.301262
dataset_v3_patches/test/Links/普通样片_16G_提花_双曲线_TH2022-9_1658211357178_y292.jpg,dataset_v3_patches/train/Tuck/__DX2022-2_1654737426913_y073_aug1.jpg,0.309938
dataset_v3_patches/test/Links/普通样片_16G_提花_双曲线_TH2022-9_1658211357178_y294.jpg,dataset_v3_patches/train/Tuck/__DX2022-2_1654737426913_y073_aug1.jpg,0.309188
dataset_v3_patches/test/Links/普通样片_7G_棉纱_提花_TH2024-4_1715389903932_y000.jpg,dataset_v3_patches/train/Tuck/普通样片_9G_羊毛_吊目_DX2023-39_1705634400649_y073_aug2.jpg,0.184418
dataset_v3_patches/test/Links/普通样片_7G_棉纱_提花_TH2024-4_1715389903932_y073.jpg,dataset_v3_patches/train/Tuck/普通样片_9G_羊毛_吊目_DX2023-39_1705634400649_y073_aug2.jpg,0.185133
dataset_v3_patches/test/Links/普通样片_7G_棉纱_提花_TH2024-4_1715389903932_y146.jpg,dataset_v3_patches/train/Tuck/普通样片_9G_羊毛_吊目_DX2023-39_1705634400649_y073_aug2.jpg,0.186304
dataset_v3_patches/test/Links/普通样片_7G_棉纱_提花_TH2024-4_1715389903932_y219.jpg,dataset_v3_patches/train/Tuck/普通样片_9G_羊毛_吊目_DX2023-39_1705634400649_y292.jpg,0.187362
dataset_v3_patches/test/Links/普通样片_7G_棉纱_提花_TH2024-4_1715389903932_y292.jpg,dataset_v3_patches/train/Tuck/5_7G_鼓包_普通样片_棉纱_GB2023-11_1691046329197_y292_aug2.jpg,0.185412
dataset_v3_patches/test/Links/普通样片_7G_棉纱_提花_TH2024-4_1715389903932_y294.jpg,dataset_v3_patches/train/Tuck/5_7G_鼓包_普通样片_棉纱_GB2023-11_1691046329197_y292_aug2.jpg,0.186102
dataset_v3_patches/test/Links/普通样片_9G_棉纱_衬纬_CW2024-2_1718677880864_y000.jpg,dataset_v3_patches/train/Move/普通样片_5_7G_移针_棉纱_YZ2023-5_1677123177131_y000.jpg,0.274008
dataset_v3_patches/test/Links/普通样片_9G_棉纱_衬纬_CW2024-2_1718677880864_y073.jpg,dataset_v3_patches/train/Move/普通样片_5_7G_移针_棉纱_YZ2023-5_1677123177131_y000_aug1.jpg,0.272626
dataset_v3_patches/test/Links/普通样片_9G_棉纱_衬纬_CW2024-2_1718677880864_y146.jpg,dataset_v3_patches/train/Move/普通样片_5_7G_移针_棉纱_YZ2023-5_1677123177131_y000.jpg,0.275135
dataset_v3_patches/test/Links/普通样片_9G_棉纱_衬纬_CW2024-2_1718677880864_y219.jpg,dataset_v3_patches/train/Miss/普通样片_5_7G_棉纱_浮线_FX2022-9_1667616472503_y000_aug2.jpg,0.280877
dataset_v3_patches/test/Links/普通样片_9G_棉纱_衬纬_CW2024-2_1718677880864_y292.jpg,dataset_v3_patches/train/Move/普通样片_5_7G_移针_棉纱_YZ2023-5_1677123177131_y000.jpg,0.290659
