query_path,nearest_ref_path,nn_lpips
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00069_g00384.png,dataset_v3_patches/train/Cable/__JH2022-4_1654910592467_y292_aug1.jpg,0.105119
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00071_g00396.png,dataset_v3_patches/train/Move/普通样片_其他_其它_5_7G_样片_包芯纱_摇床_无_吊目_YC2023-6_1686886362786_y292.jpg,0.330571
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00074_g00418.png,dataset_v3_patches/train/Cable/普通样片_5_7G_包芯纱_绞花_JH2023-33_1702358152947_y294_aug1.jpg,0.173869
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00077_g00432.png,dataset_v3_patches/train/Cable/__JH2022-6_1655280330402_y073_aug2.jpg,0.183063
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00080_g00454.png,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y292_aug2.jpg,0.157424
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00081_g00462.png,dataset_v3_patches/train/Tuck/普通样片_9G_羊毛_吊目_DX2023-39_1705634400649_y146_aug2.jpg,0.122583
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00083_g00474.png,dataset_v3_patches/train/Move/普通样片_其他_其它_5_7G_样片_包芯纱_摇床_无_YC2024-2_1723106897261_y000_aug2.jpg,0.327948
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00084_g00475.png,dataset_v3_patches/train/Miss/普通样片_7G_浮线_包芯纱_FX2022-4_1654823027349_y292_aug2.jpg,0.176980
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00085_g00481.png,dataset_v3_patches/train/Move/普通样片_5_7G_棉纱_移针_YZ2024-2_1712566899199_y219.jpg,0.132407
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00086_g00484.png,dataset_v3_patches/train/Mesh/镂空_普通样片_14G_镂空_双曲线_LK2023-14_1684464630761_y000_aug1.jpg,0.308963
